,Bank Name,Job Title,URL (URL of the job posting),cluster1_tech_words.csv,cluster2_fintech_words.csv
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/warwick/instore-personal-banker/288/10500783,0,0
0,Citizen,Home Mortgage Letter Writer Specialist,https://jobs.citizensbank.com/job/irving/home-mortgage-letter-writer-specialist/288/10498040,0,0
0,Citizen,Small Business Relationship Banker,https://jobs.citizensbank.com/job/boston/small-business-relationship-banker/288/10498032,0,0
0,Citizen,Personal Banker Universal,https://jobs.citizensbank.com/job/aldan/personal-banker-universal/288/10496095,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/fairview-park/associate-licensed-relationship-banker/288/10229181,0,0
0,Citizen,Business Banking Underwriting Group Manager,https://jobs.citizensbank.com/job/warwick/business-banking-underwriting-group-manager/288/10221705,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/dearborn/associate-licensed-relationship-banker/288/10199125,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/media/personal-banker/288/10191218,0,0
0,Citizen,Personal Banker Universal,https://jobs.citizensbank.com/job/west-chester/personal-banker-universal/288/10188798,0,0
0,Citizen,Project Manager,https://jobs.citizensbank.com/job/johnston/project-manager/288/10496099,0,0
0,Citizen,Fraud Operations Senior Specialist 2nd Shift,https://jobs.citizensbank.com/job/pittsburgh/fraud-operations-senior-specialist-2nd-shift/288/10492158,0,0
0,Citizen,Financial Advisor II,https://jobs.citizensbank.com/job/havertown/financial-advisor-ii/288/10488639,0,0
0,Citizen,Personal Banker Universal,https://jobs.citizensbank.com/job/abington/personal-banker-universal/288/10485873,0,0
0,Citizen,Business Banking Relationship Manager I,https://jobs.citizensbank.com/job/albany/business-banking-relationship-manager-i/288/10022437,0,0
0,Citizen,Financial Advisor I,https://jobs.citizensbank.com/job/pittsburgh/financial-advisor-i/288/9232247,0,0
0,Citizen,Financial Advisor I,https://jobs.citizensbank.com/job/washington/financial-advisor-i/288/9232261,0,0
0,Citizen,Commercial Real Estate Portfolio Manager I,https://jobs.citizensbank.com/job/boston/commercial-real-estate-portfolio-manager-i/288/10846332,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/wilmington/personal-banker/288/10843572,0,0
0,Citizen,Retail Branch Manager Tier 3,https://jobs.citizensbank.com/job/monongahela/retail-branch-manager-tier-3/288/10843573,0,0
0,Citizen,Senior Real Estate Appraisal Reviewer,https://jobs.citizensbank.com/job/pittsburgh/senior-real-estate-appraisal-reviewer/288/10843578,0,0
0,Citizen,Small Business Relationship Banker,https://jobs.citizensbank.com/job/solon/small-business-relationship-banker/288/10843574,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/york/associate-licensed-relationship-banker/288/10843575,0,0
0,Citizen,Small Business Relationship Banker,https://jobs.citizensbank.com/job/butler/small-business-relationship-banker/288/10843576,0,0
0,Citizen,Home Equity Quality Assurance Advocate II,https://jobs.citizensbank.com/job/warwick/home-equity-quality-assurance-advocate-ii/288/10843577,0,0
0,Citizen,Small Business Relationship Banker,https://jobs.citizensbank.com/job/hampton/small-business-relationship-banker/288/10843583,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/erie/associate-licensed-relationship-banker/288/10843586,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/gloucester/associate-licensed-relationship-banker/288/10843581,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/bridgeville/instore-personal-banker/288/10843585,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/wolfeboro/personal-banker/288/10831948,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/massillon/relationship-banker/288/10831947,0,0
0,Citizen,Financial Analyst,https://jobs.citizensbank.com/job/johnston/financial-analyst/288/10829950,0,0
0,Citizen,Premier Advisor,https://jobs.citizensbank.com/job/chestnut-hill/premier-advisor/288/10829951,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/rochester/personal-banker/288/10829952,0,0
0,Citizen,Senior Customer Service Teller,https://jobs.citizensbank.com/job/windham/senior-customer-service-teller/288/10829953,0,0
0,Citizen,Branch Manager Tier 3,https://jobs.citizensbank.com/job/milford/branch-manager-tier-3/288/10829954,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/providence/instore-personal-banker/288/10829955,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/buffalo/instore-personal-banker/288/10829956,0,0
